                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95232,                0.73089,                 1.0101,                 0.8639,                0.88592,                0.93434,                0.72703,                0.90645,                 0.6705,                0.99229,             0.00057984,             0.00057984,             0.00057984
                     35,                0.96169,                0.74625,                 1.0215,                0.86727,                0.90511,                0.94787,                0.73642,                0.85311,                0.63427,                0.99677,              0.0005772,              0.0005772,              0.0005772
                     36,                0.94279,                0.72271,                 1.0198,                0.89227,                 0.9053,                0.94722,                0.73479,                0.88225,                0.62211,                0.99629,             0.00057455,             0.00057455,             0.00057455
                     37,                0.92295,                0.71477,                 1.0193,                0.91542,                0.86161,                0.93564,                0.72878,                0.85281,                0.65736,                0.99154,             0.00057191,             0.00057191,             0.00057191
                     38,                0.92922,                0.71603,                 1.0138,                0.84816,                0.93727,                0.94655,                0.73722,                  0.833,                0.59978,                 1.0025,             0.00056927,             0.00056927,             0.00056927
                     39,                0.91979,                0.70437,                 1.0081,                0.84833,                0.91135,                0.94212,                  0.739,                0.82205,                0.63348,                0.97637,             0.00056663,             0.00056663,             0.00056663
                     40,                0.93635,                 0.6986,                 1.0126,                0.88186,                0.91742,                0.94237,                0.73926,                0.84391,                0.61146,                0.97759,             0.00056399,             0.00056399,             0.00056399
                     41,                0.90737,                0.68793,                0.99452,                0.82784,                0.84803,                0.92486,                0.71774,                0.85823,                0.74896,                0.99072,             0.00056135,             0.00056135,             0.00056135
                     42,                0.91974,                0.69377,                 1.0075,                 0.8659,                0.89852,                 0.9427,                0.72658,                0.86754,                0.62927,                0.97636,             0.00055871,             0.00055871,             0.00055871
                     43,                0.92709,                 0.7006,                 1.0179,                0.91825,                0.90707,                0.94027,                0.74567,                0.80572,                0.59503,                0.97482,             0.00055606,             0.00055606,             0.00055606
                     44,                0.89059,                 0.6507,                0.99032,                0.89871,                0.92568,                0.95883,                 0.7359,                0.86454,                0.60239,                0.97198,             0.00055342,             0.00055342,             0.00055342
                     45,                0.89698,                0.65632,                 1.0033,                0.90957,                0.90717,                0.94649,                0.74547,                0.83119,                 0.5628,                0.96767,             0.00055078,             0.00055078,             0.00055078
                     46,                0.89972,                0.65541,                0.99118,                0.89244,                 0.9293,                0.94153,                0.73838,                0.81431,                0.59683,                0.97109,             0.00054814,             0.00054814,             0.00054814
                     47,                0.90471,                0.65007,                0.99554,                 0.9067,                0.92079,                0.95026,                0.76179,                0.78181,                0.56505,                0.95994,              0.0005455,              0.0005455,              0.0005455
                     48,                0.87356,                 0.6359,                 0.9869,                0.91096,                0.93746,                0.95557,                0.74504,                0.86078,                0.57883,                0.97334,             0.00054286,             0.00054286,             0.00054286
                     49,                0.91797,                0.67019,                0.99586,                0.88562,                0.91706,                0.93871,                0.75585,                0.80452,                0.57014,                0.95511,             0.00054022,             0.00054022,             0.00054022
                     50,                0.89612,                0.62398,                0.98327,                0.89027,                 0.8955,                0.93638,                0.75791,                0.80622,                0.58036,                0.96583,             0.00053758,             0.00053758,             0.00053758
                     51,                0.88712,                 0.6337,                0.97933,                0.93105,                0.87238,                0.94876,                0.75418,                0.81558,                0.58756,                0.97555,             0.00053493,             0.00053493,             0.00053493
                     52,                0.89036,                  0.622,                 0.9882,                0.88206,                0.91445,                0.94534,                0.75069,                0.82247,                0.60712,                0.95751,             0.00053229,             0.00053229,             0.00053229
                     53,                 0.8758,                0.63612,                0.98296,                0.89725,                0.89025,                0.93705,                0.70474,                0.89854,                0.61135,                 0.9992,             0.00052965,             0.00052965,             0.00052965
                     54,                0.89222,                0.65659,                0.99025,                0.86754,                0.91754,                0.95076,                0.76236,                0.80013,                0.56723,                0.95202,             0.00052701,             0.00052701,             0.00052701
                     55,                0.85545,                0.62669,                0.97301,                0.90684,                0.92731,                0.95742,                0.76188,                0.77643,                0.57846,                0.94693,             0.00052437,             0.00052437,             0.00052437
                     56,                 0.8872,                0.62513,                0.98401,                0.86519,                0.89712,                0.93892,                 0.7445,                0.85064,                0.56679,                0.97389,             0.00052173,             0.00052173,             0.00052173
                     57,                0.85108,                0.60843,                0.96793,                0.90291,                0.93795,                0.96225,                0.77785,                0.78019,                0.52776,                0.94534,             0.00051909,             0.00051909,             0.00051909
                     58,                0.85181,                0.60314,                0.96652,                0.90879,                0.93241,                0.95599,                0.77519,                0.79146,                0.54164,                  0.948,             0.00051644,             0.00051644,             0.00051644
                     59,                0.90021,                 0.6096,                0.99362,                0.92808,                0.89035,                0.95448,                0.75284,                0.84568,                0.57026,                0.96626,              0.0005138,              0.0005138,              0.0005138
                     60,                0.85999,                0.62589,                0.97723,                0.88279,                 0.9178,                0.95591,                0.76999,                0.78862,                0.56166,                0.94972,             0.00051116,             0.00051116,             0.00051116
                     61,                0.85774,                0.60922,                0.97518,                0.89335,                0.93737,                0.95536,                0.77094,                0.78238,                0.53228,                0.94707,             0.00050852,             0.00050852,             0.00050852
                     62,                0.87659,                0.61983,                0.97704,                0.92177,                0.90087,                0.95635,                0.76463,                0.79147,                0.54549,                0.95583,             0.00050588,             0.00050588,             0.00050588
                     63,                0.88588,                0.61413,                 0.9837,                0.91066,                0.93628,                0.95993,                0.76523,                0.80459,                0.53719,                0.94983,             0.00050324,             0.00050324,             0.00050324
                     64,                0.84448,                0.57946,                0.95392,                0.91235,                0.94623,                0.96106,                0.76943,                0.78585,                0.51157,                0.94691,              0.0005006,              0.0005006,              0.0005006
                     65,                0.86984,                0.59484,                0.97537,                0.84087,                0.91968,                 0.9466,                0.75416,                0.83192,                0.55117,                0.97422,             0.00049796,             0.00049796,             0.00049796
                     66,                0.86796,                0.61064,                0.97696,                0.90528,                0.94494,                0.96156,                0.77287,                0.78544,                0.52562,                0.94341,             0.00049531,             0.00049531,             0.00049531
                     67,                0.85115,                0.59431,                0.97415,                0.92038,                0.93986,                0.96319,                0.77616,                0.80805,                0.51431,                0.94734,             0.00049267,             0.00049267,             0.00049267
                     68,                0.84371,                 0.5779,                0.96242,                0.91162,                0.91255,                0.95115,                0.75996,                0.77799,                0.52169,                0.94295,             0.00049003,             0.00049003,             0.00049003
                     69,                0.82039,                0.56592,                0.96043,                0.88793,                0.93762,                0.95838,                0.77322,                0.77607,                0.53723,                0.94677,             0.00048739,             0.00048739,             0.00048739
                     70,                0.82945,                0.57476,                0.95961,                0.90171,                0.91608,                  0.947,                0.77233,                0.79817,                  0.498,                0.93611,             0.00048475,             0.00048475,             0.00048475
                     71,                0.85813,                0.57902,                0.97045,                0.89932,                0.90583,                0.94077,                0.75875,                0.80989,                0.54855,                0.95986,             0.00048211,             0.00048211,             0.00048211
                     72,                0.84724,                0.56724,                 0.9698,                 0.8995,                0.95329,                0.97152,                0.78157,                0.77862,                0.49894,                0.93987,             0.00047947,             0.00047947,             0.00047947
                     73,                0.83463,                0.57918,                0.95696,                 0.8894,                0.93352,                0.96238,                0.77641,                0.78926,                0.51735,                0.93485,             0.00047682,             0.00047682,             0.00047682
                     74,                0.81222,                0.55916,                0.95422,                0.91484,                0.93497,                0.96042,                0.77585,                0.80204,                0.50562,                0.94627,             0.00047418,             0.00047418,             0.00047418
                     75,                0.82864,                0.57249,                0.97159,                0.87505,                0.91906,                0.95841,                0.77457,                0.78921,                0.53508,                0.94499,             0.00047154,             0.00047154,             0.00047154
                     76,                0.82642,                0.57036,                0.95278,                0.93987,                0.93935,                0.96646,                0.78175,                 0.7655,                0.51334,                0.93785,              0.0004689,              0.0004689,              0.0004689
                     77,                0.82997,                0.56316,                0.96502,                0.95381,                0.92956,                0.97202,                0.79273,                0.77191,                0.48905,                0.93304,             0.00046626,             0.00046626,             0.00046626
                     78,                0.84388,                0.56096,                0.95979,                0.93345,                0.94829,                0.97302,                0.78591,                0.76128,                0.47988,                0.92837,             0.00046362,             0.00046362,             0.00046362
